guid,proc_name,avg_memory,disk_write_iobytes,disk_read_iobytes,num_runs,cpu_kernel_sec,cpu_user_sec,start_dt,hard_page_faults,io_bytes_other,io_bytes_read,io_bytes_write,peak_memory,tcpip_receivebytes,tcpip_sendbytes,ttl_run_tm_in_ms,udpip_receivebytes,udpip_sendbytes,processornumber,chassistype,modelvendor,model,cpu_suffix,engagement_id,cpu_family,cpucode,cpuname,persona,#ofcores,cpu_stepping,vpro_enabled,ram,age_category,countryname_normalized,os,gfxcard,screensize_category
2e8c01f0edd24017b661ee67ae2745ec,cgminer2.exe,9852,0,910848,1,0,0,2021-12-06,240,8944,0,682,10008,5656,4166,93285,0,0,14 nm     ,Desktop,MSI,MS-7B98,Other,iduu,Core i7,i7-9700,9th Gen i7,Entertainment,8,Intel64 Family 6 Model 158 Stepping 13,Y,32,1-2 years,Denmark,Win10,Radeon RX 5500 XT,>24x
6a0f559ee2be4c02bcf3771173618bc0,cgminer.exe,23903,0,15408640,2,,,2021-12-06,2281,4786,13111,0,24076,0,0,23289,0,0,14 nm     ,Notebook,Asus,X541UV,Core-U,iduu,Core i7,i7-6500U,6th Gen i7,Unknown,2,Intel64 Family 6 Model 78 Stepping 3,N,4,5-6 years,United States of America,Win10,NVIDIA GeForce 920MX,15x
6a0f559ee2be4c02bcf3771173618bc0,cgminer-nogpu.exe,7924,0,0,3,,,2021-12-06,17,7155,1139,0,7968,0,0,9693,0,0,14 nm     ,Notebook,Asus,X541UV,Core-U,iduu,Core i7,i7-6500U,6th Gen i7,Unknown,2,Intel64 Family 6 Model 78 Stepping 3,N,4,5-6 years,United States of America,Win10,NVIDIA GeForce 920MX,15x
6ad19ff57ffe410090164474fe090f9c,cgminer.exe,17440,0,5938688,1,,,2022-02-18,943,10506,1140,0,20384,0,0,3249,0,0,14 nm     ,Desktop,System manufacturer,System Product Name,Core-No suffix,iduu,Core i5,i5-8400,8th Gen i5,Gamer,6,Intel64 Family 6 Model 158 Stepping 10,N,16,3-4 years,"Taiwan, Province of China",Win10,NVIDIA GeForce GTX 1070,23x
6ad19ff57ffe410090164474fe090f9c,cgminer-nogpu.exe,,,,1,,,2022-02-18,,,,,,,,1561,,,14 nm     ,Desktop,System manufacturer,System Product Name,Core-No suffix,iduu,Core i5,i5-8400,8th Gen i5,Gamer,6,Intel64 Family 6 Model 158 Stepping 10,N,16,3-4 years,"Taiwan, Province of China",Win10,NVIDIA GeForce GTX 1070,23x
05497cd3cbc046869721724e1e70f1ac,cgminer2.exe,41698,0,0,1,,,2022-01-28,0,1847271,0,123031,55912,3240738,2708844,63479152,0,0,14 nm,Desktop,Acer,Veriton M4640G,Core-No suffix,iduu,Core i5,i5-6500,6th Gen i5,Web User,4,Intel64 Family 6 Model 94 Stepping 3,Y,16,5-6 years,Russian Federation,Win10,AMD Radeon HD 5700 Series,21x
05497cd3cbc046869721724e1e70f1ac,cgminer2.exe,42864,0,0,1,529.21875,454.65625,2022-01-27,0,2531236,0,174732,55912,4410897,3692381,86497871,0,0,14 nm,Desktop,Acer,Veriton M4640G,Core-No suffix,iduu,Core i5,i5-6500,6th Gen i5,Web User,4,Intel64 Family 6 Model 94 Stepping 3,Y,16,5-6 years,Russian Federation,Win10,AMD Radeon HD 5700 Series,21x
05497cd3cbc046869721724e1e70f1ac,cgminer2.exe,43840,0,0,1,530.46875,454.140625,2022-01-26,0,2518892,0,168374,52484,4414827,3646753,86509600,0,0,14 nm,Desktop,Acer,Veriton M4640G,Core-No suffix,iduu,Core i5,i5-6500,6th Gen i5,Web User,4,Intel64 Family 6 Model 94 Stepping 3,Y,16,5-6 years,Russian Federation,Win10,AMD Radeon HD 5700 Series,21x
05497cd3cbc046869721724e1e70f1ac,cgminer2.exe,38692,0,23978496,1,180.734375,152.40625,2022-01-25,1218,875029,2085203,155433,43688,1543368,1240207,29905407,0,0,14 nm,Desktop,Acer,Veriton M4640G,Core-No suffix,iduu,Core i5,i5-6500,6th Gen i5,Web User,4,Intel64 Family 6 Model 94 Stepping 3,Y,16,5-6 years,Russian Federation,Win10,AMD Radeon HD 5700 Series,21x
05497cd3cbc046869721724e1e70f1ac,cgminer2.exe,97284,0,0,1,,,2022-01-25,0,437695,0,30823,98848,747450,645058,14901860,0,0,14 nm,Desktop,Acer,Veriton M4640G,Core-No suffix,iduu,Core i5,i5-6500,6th Gen i5,Web User,4,Intel64 Family 6 Model 94 Stepping 3,Y,16,5-6 years,Russian Federation,Win10,AMD Radeon HD 5700 Series,21x
